Starting Digital Twin in stdout mode, scenario: mixed, samples: 200
2026-09-17T14:50:18.127,421.321,25.025,50.137,253.22,0.0,990.547,startup
2026-09-17T14:50:19.128,419.408,25.023,50.116,252.327,0.012,1000.553,startup
2026-09-17T14:50:20.129,418.872,24.961,49.229,248.063,0.026,1000.37,startup
2026-09-17T14:50:21.132,419.615,25.098,50.437,249.519,0.014,1001.241,startup
2026-09-17T14:50:22.134,418.245,24.78,49.921,247.541,0.022,999.18,startup
2026-09-17T14:50:23.135,421.434,24.756,50.424,247.996,0.014,998.531,startup
2026-09-17T14:50:24.137,420.008,25.079,50.025,250.918,0.015,1006.996,startup
2026-09-17T14:50:25.138,419.316,25.1,49.875,254.672,0.012,994.506,startup
2026-09-17T14:50:26.139,419.591,24.882,48.903,254.149,0.015,995.084,startup
2026-09-17T14:50:27.142,421.327,24.711,50.017,250.506,0.022,1003.618,startup
2026-09-17T14:50:28.149,422.597,24.856,49.711,377.682,0.011,1506.762,normal
2026-09-17T14:50:29.150,419.595,25.15,49.638,374.413,0.014,1494.588,normal
2026-09-17T14:50:30.151,420.615,25.68,49.782,374.948,0.041,1500.703,normal
2026-09-17T14:50:31.153,420.17,24.798,50.452,375.762,0.053,1499.85,normal
2026-09-17T14:50:32.154,420.365,24.977,49.862,372.025,0.036,1499.093,normal
2026-09-17T14:50:33.155,421.567,25.138,48.812,376.422,0.053,1497.25,normal
2026-09-17T14:50:34.157,421.761,25.398,50.289,373.776,0.043,1494.749,normal
2026-09-17T14:50:35.159,420.126,24.752,50.11,372.581,0.064,1500.016,normal
2026-09-17T14:50:36.161,422.304,24.823,50.21,373.506,0.078,1503.651,normal
2026-09-17T14:50:37.163,421.458,25.118,50.767,376.425,0.064,1497.392,normal
2026-09-17T14:50:38.166,418.83,24.952,50.365,298.493,0.069,1206.046,fan_failure
2026-09-17T14:50:39.167,420.563,25.165,50.724,239.912,0.057,962.289,fan_failure
2026-09-17T14:50:40.168,420.018,25.179,49.693,191.238,0.071,769.885,fan_failure
