2026-09-17 11:37:12,582 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 420.132455458535, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.0037811920991268153, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 11:37:13,584 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.7334245766062, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.007558792920316271, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 11:37:14,585 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.88914356366644, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.01133779521238927, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 11:37:15,589 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 420.08291881072194, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.015118541481685769, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 11:37:16,590 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 420.4088925182159, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.018902221514349712, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 11:37:17,591 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 420.4378864920146, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.022686162492777846, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 11:37:18,593 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 420.15749552928287, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.02646757995254139, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 11:37:19,594 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 420.02121132284026, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.030247770854446954, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 11:37:20,595 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.70773247248644, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.03402514044669933, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 11:37:21,597 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.8977293873025, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.03780422001118505, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 11:37:22,598 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.6282766193444, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.04158087450075915, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 11:37:23,599 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.60777204833516, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.04535734444919417, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 11:37:24,601 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.5318139258018, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.049133130774526385, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 11:37:25,603 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.6762969691297, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.05291021744724855, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 11:37:26,604 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 420.14000657940613, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.05669147750646321, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 11:37:27,605 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 420.26691995908664, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.06047387978609499, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
