2026-09-17 11:54:11,855 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.132455458535, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.0025207947327512106, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:12,857 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.7334245766062, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.005039195280210847, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:13,859 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.88914356366644, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.007558530141592846, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:14,862 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.08291881072194, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.010079027654457179, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:15,863 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.4088925182159, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.012601481009566474, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:16,865 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.4378864920146, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.015124108328518562, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:17,866 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.15749552928287, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.01764505330169426, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:18,867 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.02121132284026, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.020165180569631302, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:19,868 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.70773247248644, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.022683426964466222, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:20,870 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.8977293873025, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.025202813340790036, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:21,870 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.6282766193444, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.027720583000506102, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:22,872 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.60777204833516, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.030238229632796113, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:23,873 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.5318139258018, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.03275542051635092, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:24,875 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.6762969691297, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.0352734782981657, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:25,877 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.14000657940613, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.03779431833764214, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 11:54:26,878 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.26691995908664, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.04031591985739666, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
