2026-09-17 12:14:06,160 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.132455458535, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.0025207947327512106, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:14:07,161 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.7334245766062, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.005039195280210847, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:14:08,162 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.88914356366644, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.007558530141592846, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:14:09,166 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.08291881072194, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.010079027654457179, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:14:10,167 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.4088925182159, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.012601481009566474, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:14:11,168 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.4378864920146, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.015124108328518562, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:14:12,169 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.15749552928287, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.01764505330169426, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:14:13,170 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 420.02121132284026, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.020165180569631302, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:14:14,171 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.70773247248644, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.022683426964466222, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:14:15,172 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.8977293873025, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.025202813340790036, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:14:16,173 - DigitalTwin - INFO - Scenario: sensor_spike | True: {'co2_ppm': 419.6282766193444, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.027720583000506102, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
