2026-09-17 12:40:12,181 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 420.132455458535, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.0025207947327512106, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:40:13,182 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 419.7334245766062, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.005039195280210847, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:40:14,183 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 419.88914356366644, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.007558530141592846, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:40:15,186 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 420.08291881072194, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.010079027654457179, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:40:16,187 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 420.4088925182159, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.012601481009566474, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:40:17,188 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 420.4378864920146, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.015124108328518562, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:40:18,189 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 420.15749552928287, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.01764505330169426, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:40:19,190 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 420.02121132284026, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.020165180569631302, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:40:20,192 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 419.70773247248644, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.022683426964466222, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:40:21,193 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 419.8977293873025, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.025202813340790036, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 12:40:22,195 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.72543370140704, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.0289803422441027, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 12:40:23,196 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.7000712762947, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.032757642885589355, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 12:40:24,197 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.6194981923634, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.03653421836932062, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 12:40:25,199 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.75959702236315, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.04031205474252189, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
