2026-09-17 12:06:35,887 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.132455458535, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 200.0, 'captured_co2_g': 0.002016635786200968, 'fan_speed_rpm': 800.0} | Cmd RPM: 1000.0
2026-09-17 12:06:36,888 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.7334245766062, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 160.0, 'captured_co2_g': 0.003628412136575136, 'fan_speed_rpm': 640.0} | Cmd RPM: 1000.0
2026-09-17 12:06:37,889 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.88914356366644, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 128.0, 'captured_co2_g': 0.004918311585602719, 'fan_speed_rpm': 512.0} | Cmd RPM: 1000.0
2026-09-17 12:06:38,892 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.08291881072194, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 102.4, 'captured_co2_g': 0.005950707366871949, 'fan_speed_rpm': 409.6} | Cmd RPM: 1000.0
2026-09-17 12:06:39,893 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.4088925182159, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 81.92, 'captured_co2_g': 0.006777264882274163, 'fan_speed_rpm': 327.68} | Cmd RPM: 1000.0
2026-09-17 12:06:40,894 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.4378864920146, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 65.536, 'captured_co2_g': 0.0074385564981735396, 'fan_speed_rpm': 262.144} | Cmd RPM: 1000.0
2026-09-17 12:06:41,895 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.15749552928287, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 52.4288, 'captured_co2_g': 0.007967236977412076, 'fan_speed_rpm': 209.7152} | Cmd RPM: 1000.0
2026-09-17 12:06:42,896 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.02121132284026, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 41.94304, 'captured_co2_g': 0.008390044172628772, 'fan_speed_rpm': 167.77216} | Cmd RPM: 1000.0
2026-09-17 12:06:43,897 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.70773247248644, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 33.554432000000006, 'captured_co2_g': 0.008728037482287706, 'fan_speed_rpm': 134.21772800000002} | Cmd RPM: 1000.0
2026-09-17 12:06:44,898 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.8977293873025, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 26.843545600000006, 'captured_co2_g': 0.008998554534595174, 'fan_speed_rpm': 107.37418240000002} | Cmd RPM: 1000.0
2026-09-17 12:06:45,900 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.6282766193444, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 21.474836480000004, 'captured_co2_g': 0.009214829301542006, 'fan_speed_rpm': 85.89934592000002} | Cmd RPM: 1000.0
