2026-09-17 14:37:34,986 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 420.132455458535, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.0025207947327512106, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 14:37:35,986 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 419.7334245766062, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.005039195280210847, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 14:37:36,987 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 419.88914356366644, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.007558530141592846, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 14:37:37,990 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 420.08291881072194, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.010079027654457179, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 14:37:38,992 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 420.4088925182159, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.012601481009566474, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 14:37:39,994 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 420.4378864920146, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.015124108328518562, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 14:37:40,995 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 420.15749552928287, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.01764505330169426, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 14:37:41,997 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 420.02121132284026, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.020165180569631302, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 14:37:42,998 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 419.70773247248644, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.022683426964466222, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 14:37:43,999 - DigitalTwin - INFO - Scenario: startup | True: {'co2_ppm': 419.8977293873025, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 250.0, 'captured_co2_g': 0.025202813340790036, 'fan_speed_rpm': 1000.0} | Cmd RPM: 1000.0
2026-09-17 14:37:45,001 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.72543370140704, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.0289803422441027, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 14:37:46,003 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.7000712762947, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.032757642885589355, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 14:37:47,005 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.6194981923634, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.03653421836932062, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 14:37:48,007 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.75959702236315, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.04031205474252189, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 14:37:49,009 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 420.2191416299779, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.04409402701719169, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 14:37:50,010 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 420.3420982571298, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.04787710590150586, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 14:37:51,011 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 420.3255501516711, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.0516600358528709, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 14:37:52,014 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.9794699492097, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.05543985108241379, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 14:37:53,015 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.5239993570158, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.05921556707662693, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 14:37:54,017 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.97240136219807, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.06299531868888672, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 14:37:55,019 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.9502995532819, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 300.0, 'captured_co2_g': 0.06601896084567035, 'fan_speed_rpm': 1200.0} | Cmd RPM: 1500.0
2026-09-17 14:37:56,020 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 420.1712190912533, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 240.0, 'captured_co2_g': 0.06843914706763597, 'fan_speed_rpm': 960.0} | Cmd RPM: 1500.0
2026-09-17 14:37:57,022 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.8026121227655, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 192.0, 'captured_co2_g': 0.07037359750429767, 'fan_speed_rpm': 768.0} | Cmd RPM: 1500.0
2026-09-17 14:37:58,023 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.93702932603384, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 153.6, 'captured_co2_g': 0.07192165336920515, 'fan_speed_rpm': 614.4} | Cmd RPM: 1500.0
2026-09-17 14:37:59,024 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.66870282673403, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 122.88, 'captured_co2_g': 0.07315930673408554, 'fan_speed_rpm': 491.52} | Cmd RPM: 1500.0
2026-09-17 14:38:00,026 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.3911571040411, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 98.304, 'captured_co2_g': 0.07414877461347646, 'fan_speed_rpm': 393.216} | Cmd RPM: 1500.0
2026-09-17 14:38:01,027 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.8815561996367, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 78.64320000000001, 'captured_co2_g': 0.07494127451428893, 'fan_speed_rpm': 314.57280000000003} | Cmd RPM: 1500.0
2026-09-17 14:38:02,029 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.83866126009633, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 62.91456000000001, 'captured_co2_g': 0.07557520966574896, 'fan_speed_rpm': 251.65824000000003} | Cmd RPM: 1500.0
2026-09-17 14:38:03,030 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.8945372439189, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 50.33164800000001, 'captured_co2_g': 0.07608242528284537, 'fan_speed_rpm': 201.32659200000003} | Cmd RPM: 1500.0
2026-09-17 14:38:04,032 - DigitalTwin - INFO - Scenario: fan_failure | True: {'co2_ppm': 419.58280593679666, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 40.265318400000005, 'captured_co2_g': 0.07648789652947442, 'fan_speed_rpm': 161.06127360000002} | Cmd RPM: 1500.0
2026-09-17 14:38:05,036 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.7769429052636, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.08026588901562179, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
2026-09-17 14:38:06,038 - DigitalTwin - INFO - Scenario: normal | True: {'co2_ppm': 419.9955836215319, 'temperature_c': 25.0, 'humidity_percent': 50.0, 'gas_flow_l_min': 375.0, 'captured_co2_g': 0.08404584926821558, 'fan_speed_rpm': 1500.0} | Cmd RPM: 1500.0
